usub ID,usub,closest isub,isub 2
1,Topic 0: okay - basically - yeah - havent - geoff - unfortunately,,
2,Topic 1: trading - newsletter - income - seller - linkedin - hire,Careers,
3,Topic 2: consulting - nonprofit - strategic - expertise - profession - graduated,Management & Marketing,
4,Topic 3: clearly - thus - nobody - shall - therefore - somehow,,
5,Topic 4: estate - investor - investing - retirement - debt - income,Investing,
6,Topic 5: hunting - deer - buck - fishing - outdoors - vehicle,Outdoor,
7,Topic 6: comedian - porn - sexy - tennis - katie - erotic,Sexuality,
8,Topic 7: dental - spoiler - cruise - hack - skype - gmail,,
9,Topic 8: golf - false - cambria - minorlatin - chiropractic - xnone,,
10,Topic 9: stitcher - clicking - summary - android - workout - muscle,Fitness & Nutrition,
11,Topic 10: graham - derek - jesse - genre - indie - harry,,
12,Topic 11: nutrition - paleo - supplement - lowcarb - jimmy - sugar,Fitness & Nutrition,
13,Topic 12: yarn - knitting - sock - knit - fiber - quilt,Hobbies,
14,Topic 13: obama - federal - clinton - presidential - hillary - republican,News & Politics,
15,Topic 14: neil - ross - danny - roger - copyright - jeffrey,,
16,Topic 15: spoiler - marvel - survivor - trailer - batman - superman,TV & Film,
17,Topic 16: lecture - separation - argues - outline - economics - joel,Higher Education,
18,Topic 17: photography - photographer - adobe - lens - photoshop - graphic,Visual Arts,
19,Topic 18: wellness - trainer - nutrition - seminar - mom - adoption,Fitness & Nutrition,
20,Topic 19: classroom - principal - nonprofit - district - portland - traveler,Places & Travel,
21,Topic 20: climate - sustainable - environmental - agriculture - solar - preparedness,Natural Sciences,
22,Topic 21: wine - cocktail - whisky - tasting - rebel - winery,Food,
23,Topic 22: clinical - physician - surgery - pregnancy - nurse - diabetes,Medicine,
24,Topic 23: patreon - wwwyoutubecomwatch - marathon - runner - soundcloud - donate,Amateur (Sports),
25,Topic 24: bike - celtic - cycling - irish - motorcycle - racing,Automotive,
26,Topic 25: instructor - martial - certified - indoor - olympic - provider,Amateur (Sports),
27,Topic 26: transcript - doug - premium - spanish - expression - italian,Language Courses,
28,Topic 27: productivity - quit - julie - greatness - inspirational - awardwinning,Self-Help,
29,Topic 28: developer - startup - nathan - agile - programming - chuck,Tech News,
30,Topic 29: disney - walt - disneyland - resort - attraction - mouse,Kids & Family,Places & Travel
31,Topic 30: mindfulness - buddhist - consciousness - awakening - dharma - buddhism,Buddhism,
32,Topic 31: oldtimeradiodvdcom - aired - audible - shipping - audiobook - announcer,Literature,
33,Topic 32: jesus - bible - pastor - rabbi - jewish - ministry,Christianity,Judaism
34,Topic 33: yoga - bryan - larry - verse - boxing - translation,Amateur (Sports),
35,Topic 34: poetry - tarot - witch - geek - pagan - poem,Literature,
36,Topic 35: slate - checkout - bandwidth - cachefly - sara - squarespace,Business,
37,Topic 36: mar - nasa - astronomy - skeptic - solar - physic,Natural Sciences,
38,Topic 37: remix - feat - spinnin - edit - tracklist - playlist,Music,
39,Topic 38: emily - evan - african - wallace - gavin - corey,,
40,Topic 39: deck - marshall - buddhist - para - ajahn - monastery,Buddhism,
41,Topic 40: affiliate - buzz - kindle - jake - ranking - listing,Tech News,
42,Topic 41: pete - drew - tyler - jamie - jimmy - terry,,
43,Topic 42: archive - poker - programme - favourite - megan - luxury,Other Games,
44,Topic 43: ipad - android - google+ - linux - macvoices - microsoft,Gadgets,
45,Topic 44: muslim - islamic - donate - updated - publisher - reminder,Islam,
46,Topic 45: chef - cooking - vegan - farmer - chicken - cheese,Food,
47,Topic 46: paranormal - psychic - investigation - bigfoot - haunted - investigator,Social Sciences,
48,Topic 47: gmailcom - voicemail - donation - shownotes - nickname - promos,Podcasting,
49,Topic 48: historian - contemporary - african - centre - literature - gallery,History,
50,Topic 49: brewing - aviation - drone - brewery - brew - airline,Aviation,
51,Topic 50: wrestling - basketball - draft - baseball - championship - playoff,Professional (sports),
52,Topic 51: disorder - adhd - parenting - divorce - spouse - therapist,Social Sciences,
53,Topic 52: cigar - kyle - jeremy - brandon - jared - alison,,
54,Topic 53: murder - killed - korean - licensed - macleod - soldier,History,
55,Topic 54: gaming - nintendo - dragon - dungeon - kickstarter - guild,Video Games,
56,Topic 55: theatre - piano - performed - singer - composer - broadway,Performing Arts,
