usub_id,usub,closest isub,isub 2
0,Topic 0: Of The - On The - From The - Film Festival - Goldman Sachs - Into The,Business News,
1,Topic 1: Middle East - South Africa - Senior Fellow - Prime Minister - War II - Hong Kong,Places & Travel,
2,Topic 2: Thank You - You Tell - Rate Review - Critical Hit - Click Here - Review Show,,
3,Topic 3: Force Awakens - Follow @ - Twitter Email - Topics Include - Mental Game - The Force,TV & Film,
4,Topic 4: Walt Disney - Disney World - Coffee Break - Disney Disney - Magic Kingdom - Windows PowerShell,Kids & Family,
5,Topic 5: In Episode - Continue Episode - Podcast | - Episode The - Show Show - Episode Episode,,
6,Topic 6: Facebook Page - Supreme Court - Law School - Civil War - ( iTunes - Podcast @,History,
7,Topic 7: BBC Radio - National Gallery - Gallery Art - Hatha Yoga - Video Games - Tiny Desk,Visual Arts,
8,Topic 8: Real Estate - Estate Investing - OF THE - THE SHOW - Cash Flow - Key Takeaways,Investing,
9,Topic 9: Twitter Follow - Stitcher Radio - iTunes Subscribe - Subscribe Stitcher - Listen iTunes - iTunes Listen,,
10,Topic 10: Click Here - Email Twitter - RSS iTunes - Subscribe RSS - Brewing Company - [ Read,Food,
11,Topic 11: Follow Twitter - Facebook Follow - Creative Commons - Amazon Amazon - TV Show - Follow Instagram,Music,
12,Topic 12: Old Time - Time Radio - Island Discs - Desert Island - Free Shipping - Classic TV,Performing Arts,
13,Topic 13: Doctor Who - Dharma Talk - Zen Center - Twitter Twitter - iPhone iPad - iPod Touch,Alternative Health,
14,Topic 14: Podcast Network - Language Learning - Comic Book - Dr. Michael - Find Dr. - Managing Editor,Language Courses,
15,Topic 15: Bridging Gap - Patient Care - Green Bay - ON TWITTER - Tom Brady - PDF PDF,Professional (sports),
16,Topic 16: Fitness Expert - JJ JJ - Fit Love - Podcast Show - JJ Flizanes - Personal Trainer,Fitness & Nutrition,
17,Topic 17: D D - Notre Dame - Ohio State - College Football - Ole Miss - James John,College & High School,
18,Topic 18: Radio Show - Talk Radio - WDW Radio - Radio Mike - Travel Podcast - Lou Mongello,Performing Arts,
19,Topic 19: Fantasy Football - Contact Us - Best Ever - New England - Hall Fame - Taylor Swift,Professional (sports),
20,Topic 20: Silicon Valley - Leo Laporte - Buddhist Monastery - Amaravati Buddhist - On Fire - Joe Joe,Buddhism,
21,Topic 21: CLICK HERE - HERE FOR - Running Time - Continue Reading - HERE TO - News Radio,,
22,Topic 22: Southern California - St. Louis - Bay Area - Leave iTunes - Kansas City - New Mexico,Places & Travel,
23,Topic 23: With Me - Sleep With - Justice League - Star Trek - Captain America - Fantastic Four,TV & Film,
24,Topic 24: Contact Info - Listen Now - Star Trek - Listener Feedback - Executive Producer - Harry Potter,TV & Film,
25,Topic 25: ) ( - Audio Podcast - Records ) - Of The - Recordings ) - Science Mike,Podcasting,
26,Topic 26: High School - Know Your - Middle School - National Park - Intuitive Healer - Dream Job,K-12,
27,Topic 27: Definitions */ - Style Definitions - */ Table - Table Normal - Cambria Cambria - Normal mso-padding-alt:0in,,
28,Topic 28: Remix ) - Mix ) - ) [ - Original Mix - ( Original - Records ],Music,
29,Topic 29: ( CC - Rate Review - Stack Overflow - Mentioned Show - Podington Bear - International (,Music,
30,Topic 30: Download MP3 - Our Our - ( Twitter - K N - Episode Links - Man World,,
31,Topic 31: Please Twitter - Psychic Medium - iTunes Get - New Media - Join Scott - Twitter Did,,
32,Topic 32: Alexander Technique - Monday Friday - Amazon Kindle - Blue Apron - Slate Plus - Podcast Monday,Alternative Health,
33,Topic 33: Podcast Episode - Melvyn Bragg - ( Chuck - College London - Mitch Joel - Episode Host,,
34,Topic 34: Subscribe iTunes - iTunes Stitcher - Google Play - Podcast iTunes - SHOW NOTES - This Episode,Podcasting,
35,Topic 35: Apple Watch - Subscribe iTunes - Facebook Google+ - App Store - Audio Video - iTunes Subscribe,Gadgets,
36,Topic 36: Air Force - Download Podcast - Podcast Video - US Army - Marine Corps - National Guard,National,
37,Topic 37: Social Media - Im Im - Your Life - On The - In Your - Media Marketing,Management & Marketing,
38,Topic 38: OUR SPONSOR - Jimmy Moore - Dr. Bill - United Olympic - Sport Psychology - NCAA Division,Professional (sports),
39,Topic 39: S ) - DVD Blu-ray - Collection ( - ( DVD - ( S - ) (,,
40,Topic 40: Kevin MacLeod - Celtic Music - incompetech.com ) - ( incompetech.com - MacLeod ( - Licensed Creative,Music,
41,Topic 41: Twitter Instagram - RSS Feed - Instagram Twitter - Instagram Facebook - Facebook Instagram - iTunes (,,
42,Topic 42: Air Date - Original Air - Season Pass - Twitter YouTube - Follow Us - Live Love,,
43,Topic 43: Hillary Clinton - President Obama - Supreme Court - Trump Trump - President Trump - For Hire,News & Politics,
44,Topic 44: Please iTunes - Instagram @ - Jay Scott - iTunes | - Stitcher | - | Stitcher,,
45,Topic 45: Muslim Central - YouTube Channel - Subscribe YouTube - Facebook Instagram - Instagram Twitter - Twitter Subscribe,Islam,
46,Topic 46: Course Miracles - ] ( - Huffington Post - Your Life - Life Coach - Law Attraction,Self Help,
47,Topic 47: God God - God Word - Jesus Christ - Bible Church - God His - God In,Christianity,
48,Topic 48: University Press - University California - ( University - Associate Professor - University Chicago - Harvard University,Higher Education,
49,Topic 49: Game Thrones - Final Fantasy - Ryan Scott - Wii U - World Warcraft - Super Mario,Video Games,
50,Topic 50: Podcast In - Facebook Group - Join Facebook - Welcome Episode - Website Facebook - Website Twitter,,
51,Topic 51: Show Notes - Radio Network - ] The - Show Links - ] In - iTunes Twitter,,
52,Topic 52: Click iTunes - Walking Dead - iTunes Click - Season Episode - SPREAD THE - Bay Area,TV & Film,
53,Topic 53: In Dr. - Talk Radio - Dr. David - Emergency Medicine - CALL IN - ADHD ADHD,Medicine,
54,Topic 54: Download Standard - Standard Podcasts - Strength Coach - Click Download - Whole Foods - Perform Better,Self Help,
55,Topic 55: Read More - @ gmail.com - More The - Round Table - In Chris - Matt Matt,,
