usub_id,usub,closest_isub,closest_isub2
0,Topic 0: linux - alien - conspiracy - creature - underground - graham,Tech News,
1,Topic 1: nathan - audible - dana - russell - bandwidth - bos,Podcasting,
2,Topic 2: stitcher - rating - clicking - soundcloud - tunein - libsyn,,
3,Topic 3: theatre - performed - singer - piano - composer - jazz,Performing Arts,
4,Topic 4: spoiler - marvel - batman - trailer - superman - deck,TV & Film,
5,Topic 5: basketball - iowa - classroom - recruiting - georgia - ohio,College & High School,
6,Topic 6: comedian - martial - boxing - pete - larson - joey,Comedy,
7,Topic 7: draft - baseball - clay - playoff - basketball - packer,Professional,
8,Topic 8: motorcycle - automotive - vehicle - racing - auto - motor,Automotive,
9,Topic 9: disney - walt - disneyland - cruise - resort - mouse,Kids & Family,
10,Topic 10: trading - chart - trader - currency - korean - forex,Investing,
11,Topic 11: muslim - donate - islamic - publisher - updated - reminder,Islam,
12,Topic 12: federal - startup - commentary - analyst - sector - regulation,National,
13,Topic 13: nonprofit - certified - coauthor - faculty - harvard - engineering,Non-Profit,
14,Topic 14: android - affiliate - jimmy - lowcarb - microsoft - buzz,Tech News,
15,Topic 15: chef - cooking - cheese - chicken - dish - delicious,Food,
16,Topic 16: wine - brewing - italian - brewery - mitch - brew,Places & Travel,
17,Topic 17: estate - investor - investing - income - debt - retirement,Investing,
18,Topic 18: poker - kate - divorce - spouse - parenting - erin,Social Sciences,
19,Topic 19: climate - argues - scholar - oxford - moral - philosopher,Philosophy,
20,Topic 20: surgery - infection - clinical - guideline - acute - virus,Medicine,
21,Topic 21: false - clinton - obama - hillary - slate - republican,News & Politics,
22,Topic 22: oldtimeradiodvdcom - cigar - aired - dental - announcer - shipping,,
23,Topic 23: paranormal - psychic - tarot - astrology - healer - witch,Spirituality,
24,Topic 24: marathon - workout - runner - vegan - nutrition - muscle,Fitness & Nutrition,
25,Topic 25: atheist - karen - survivor - heather - susan - michelle,Other,
26,Topic 26: emily - megan - katie - anna - girlfriend - ballet,,
27,Topic 27: celtic - irish - ireland - quilt - marc - flower,,
28,Topic 28: nutrition - paleo - supplement - wellness - sugar - protein,Fitness & Nutrition,
29,Topic 29: lecture - navy - outline - marine - combat - admission,Training,
30,Topic 30: photography - photographer - wwwyoutubecomwatch - adobe - lens - photoshop,Visual Arts,
31,Topic 31: youd - instructor - indoor - calendar - homeschool - shane,K-12,
32,Topic 32: yarn - knitting - sock - knit - fiber - ravelry,Hobbies,
33,Topic 33: transcript - newsletter - spanish - premium - expression - softball,Language Courses,
34,Topic 34: income - linkedin - seller - startup - productivity - entrepreneurship,Management & Marketing,
35,Topic 35: developer - chuck - agile - programming - server - bitcoin,Software How-To,
36,Topic 36: rabbi - jewish - torah - sermon - israel - mormon,Judaism,
37,Topic 37: wasnt - basically - yeah - unfortunately - suggested - yesterday,,
38,Topic 38: remix - feat - spinnin - playlist - edit - tennis,Music,
39,Topic 39: poetry - poem - edited - aloud - excerpt - narrated,Literature,
40,Topic 40: yoga - buddhist - dharma - retreat - buddhism - mindfulness,Buddhism,
41,Topic 41: conscious - gratitude - miracle - consciousness - heal - attraction,Alternative Health,
42,Topic 42: german - historian - contemporary - gallery - alexander - painting,History,
43,Topic 43: gaming - nintendo - dragon - dungeon - kickstarter - guild,Video Games,
44,Topic 44: wrestling - geek - horror - gang - johnny - nerd,Social Sciences,
45,Topic 45: gmailcom - patreon - voicemail - donation - golf - patron,,
46,Topic 46: directed - nous - olympic - abbey - dans - pour,,
47,Topic 47: murder - porn - prison - criminal - killed - african,News & Politics,
48,Topic 48: ipad - promo - google+ - macvoices - neil - ipod,Tech News,
49,Topic 49: archive - aviation - drone - nickname - copyright - favourite,Aviation,
50,Topic 50: hunting - fishing - deer - buck - outdoors - trail,Outdoor,
51,Topic 51: adhd - disorder - clinical - summary - symptom - therapist,Medicine,
52,Topic 52: larry - ross - jesse - doug - roger - colin,Personal Journals,
53,Topic 53: bike - cycling - rider - riding - racing - courtesy,Amateur,
54,Topic 54: farmer - organic - farming - sustainable - seed - agriculture,Natural Sciences,
55,Topic 55: jesus - bible - pastor - ministry - christ - prayer,Christianity,
