usub_id,usub,isub,isub 2
0,Topic 0: celtic - dana - gunn - bard - wikipedia - breastfeeding,,
1,Topic 1: cambria - minorlatin - homeschool - xnone - fontfamily - tablemsonormaltable,,
2,Topic 2: server - nous - dans - pour - python - container,,
3,Topic 3: motorcycle - evan - rider - canon - wallace - gavin,Automotive,
4,Topic 4: fishing - deer - outdoors - whitetail - wildlife - camping,Outdoor,
5,Topic 5: farming - agriculture - herbal - preparedness - gardening - naval,Food,
6,Topic 6: playoff - soccer - patriot - espn - mailbag - matchup,Professional,
7,Topic 7: oldtimeradiodvdcom - cycling - amateur - endurance - ironman - triathlon,Amateur,
8,Topic 8: voicemail - walt - disneyland - hotline - downloading - pinterest,,
9,Topic 9: nickname - bluray - whisky - promos - voicemail - aloud,,
10,Topic 10: democracy - macleod - iraq - syria - attribution - iran,News & Politics,
11,Topic 11: brewing - brewery - brew - erotic - cider - orgasm,Sexuality,
12,Topic 12: yarn - knitting - sock - knit - fiber - ravelry,Hobbies,
13,Topic 13: cocktail - cookbook - culinary - vegetarian - sauce - potato,Food,
14,Topic 14: adhd - selfhelp - deficit - tara - intimacy - mindful,Self-Help,
15,Topic 15: poker - mitch - separation - pixel - dice - miniature,Other Games,
16,Topic 16: chiropractic - adobe - packer - tasting - indesign - photoshop,Visual Arts,
17,Topic 17: playlist - copyright - reserved - indoor - drummer - firearm,,
18,Topic 18: muslim - islamic - englishspeaking - islam - allah - rail,Islam,
19,Topic 19: trader - subscribing - currency - powershell - forex - imbalance,Investing,
20,Topic 20: bandwidth - samsung - cachefly - gadget - smartphone - wireless,Gadgets,
21,Topic 21: mormon - quilt - vocabulary - verb - grammar - xbox,,
22,Topic 22: pastor - kindle - appreciated - ebay - ipod - jewelry,Christianity,
23,Topic 23: superman - aired - scifi - ramblings - listens - narrator,TV & Film,
24,Topic 24: slate - agile - millionaire - ballet - fundraising - lingq,,
25,Topic 25: cigar - aviation - softball - airline - aircraft - airplane,Aviation,
26,Topic 26: duration - firefighter - greeting - crap - joanna - synopsis,,
27,Topic 27: programme - exhibition - piano - composer - opera - curator,Performing Arts,
28,Topic 28: vegan - rental - loan - mortgage - passive - multifamily,Investing,
29,Topic 29: recruiting - ncaa - nebraska - dame - notre - penn,College & High School,
30,Topic 30: favourite - broadway - disc - castaway - investigator - librarian,,
31,Topic 31: wordpress - ecommerce - mailing - listing - plugin - darren,Management & Marketing,
32,Topic 32: exam - pediatric - abbey - acute - nursing - adoption,Kids & Family,
33,Topic 33: linux - dental - shownotes - aired - bigfoot - leslie,,
34,Topic 34: paleo - lowcarb - protein - hormone - nutritional - diabetes,Fitness & Nutrition,
35,Topic 35: linkedin - google+ - audible - snapchat - freshbooks - steli,,
36,Topic 36: google+ - macvoices - bitcoin - podcatcher - tutorial - genealogy,,
37,Topic 37: patron - audible - checkout - audiobook - holmes - scooter,Podcasting,
38,Topic 38: banking - bloomberg - employment - advisory - technological - employer,Business News,
39,Topic 39: rabbi - tarot - torah - astrology - pagan - astrologer,Judaism,
40,Topic 40: paranormal - psychic - intuitive - healer - reiki - investigator,Spirituality,
41,Topic 41: bernie - amendment - senate - voter - marijuana - isi,National,
42,Topic 42: alison - standup - danielle - joey - vanessa - jackie,Comedy,
43,Topic 43: astronomy - astronomer - theresa - telescope - beneath - sky,Natural Sciences,
44,Topic 44: atheist - skeptic - oxford - literary - secular - atheism,Philosophy,
45,Topic 45: remix - feat - spinnin - tracklist - larson - armada,Music,
46,Topic 46: clicking - garrison - hanson - psychotherapy - ptsd - counseling,Alternative Health,
47,Topic 47: tennis - podcasters - liam - jess - horn - elsie,,
48,Topic 48: marketer - webinar - mastermind - hustle - pinterest - tucker,Management & Marketing,
49,Topic 49: sermon - gospel - scripture - biblical - hebrew - verse,Christianity,
50,Topic 50: batman - nintendo - pokemon - outro - xmen - spiderman,TV & Film,
51,Topic 51: dungeon - guild - lore - vidya - commander - gmail,Video Games,
52,Topic 52: buddhist - dharma - buddhism - buddha - lama - monastery,Buddhism,
53,Topic 53: caller - korean - boxing - callin - finest - brock,,
54,Topic 54: automotive - gallup - mcelroy - jeep - dealer - porsche,Automotive,
55,Topic 55: wrestling - soundcloud - tunein - libsyn - martial - spreaker,Amateur,
