also_sub_1,also_sub_2,also_sub_3,also_sub_4,also_sub_5,by,genre,more_by_1,more_by_2,more_by_3,more_by_4,more_by_5,num_ratings,podcast_name,rating,show_desc,subgenre,website
Radiolab,This American Life,Invisibilia,Snap Judgment,Fresh Air,The Moth,Arts,,,,,,5035,The Moth,4.76087,"Since its launch in 1997, The Moth has presented thousands of true stories, told live and without notes, to standing-room-only crowds worldwide. Moth storytellers stand alone, under a spotlight, with only a microphone and a roomful of strangers. The storyteller and the audience embark on a high-wire act of shared experience which is both terrifying and exhilarating. Since 2008, The Moth podcast has featured many of our favorite stories told live on Moth stages around the country. For information on all of our programs and live events, visit themoth.org.",Performing Arts,http://themoth.org/
The Moth,Invisibilia,StoryCorps,99% Invisible,Reply All,Snap Judgment and WNYC Studios,Arts,Radiolab,Freakonomics Radio,Radiolab Presents: More Perfect,On the Media,,2184,Snap Judgment,4.75275,"Snap Judgment (Storytelling, with a BEAT) mixes real stories with killer beats to produce cinematic, dramatic, kick-ass radio. Snap?s raw, musical brand of storytelling dares listeners to see the world through the eyes of another. WNYC studios is the producer of leading podcasts including Radiolab, Freakonomics Radio, Note To Self, Here?s The Thing With Alec Baldwin, and more.",Performing Arts,http://www.wnyc.org/shows/snapjudgment
The New Yorker: Fiction,True Story,The Classic Tales Podcast,The Truth,Radio Diaries,Selected Shorts / Panoply,Arts,Science Friday,Studio 360 with Kurt Andersen,PRI's The World: Latest Edition,PRI: Living on Earth,,893,Selected Shorts,4.52632,Spellbinding short stories by established and emerging writers take on a new life when they are performed by stars of the stage and screen.,Performing Arts,https://itunes.com/selectedshorts
Limetown,The NoSleep Podcast,Lore,LifeAfter,Alice Isn't Dead,Pacific Northwest Stories,Arts,TANIS,,,,,4450,The Black Tapes,4.66066,"The Black Tapes is a weekly podcast from the creators of Pacific Northwest Stories, and is hosted by Alex Reagan. The Black Tapes Podcast is a serialized docudrama about one journalist's search for truth, her subject's mysterious past, and the literal and figurative ghosts that haunt them both. Do you believe?",Performing Arts,http://theblacktapespodcast.com/
Snap Judgment,Love + Radio,Strangers,The Truth,the memory palace,RISK!,Arts,,,,,,2148,RISK!,4.69087,"If you like The Moth, This American Life or Snap Judgment, take a walk on the wilder side with RISK! Your colorful host Kevin Allison (of the legendary comedy group The State) helms this surprisingly uncensored show where people tell jaw-dropping true stories they never thought they'd dare to share in public. RISK! is hilarious, heart-wrenching and remarkably real. Think you've heard it all? Fasten your seatbelt.",Performing Arts,http://www.risk-show.com/
Limetown,TANIS,The Black Tapes,Homecoming,Alice Isn't Dead,GE Podcast Theater / Panoply / The Message,Arts,Slate Magazine Daily Feed,Slate's Political Gabfest,Slate's The Gist,Slate's Trumpcast,,1451,LifeAfter,4.0572,"From GE Podcast Theater and Panoply, the producers of The Message, comes a new thriller, LifeAfter. The 10 episode series follows Ross, a low level employee at the FBI, who spends his days conversing online with his wife Charlie ? who died eight months ago. But the technology behind this digital resurrection leads Ross down a dangerous path that threatens his job, his own life, and maybe even the world. New episodes every Sunday.",Performing Arts,http://lif-e.af/ter
The Black Tapes,TANIS,LifeAfter,Alice Isn't Dead,Lore,Two-Up Productions,Arts,,,,,,1666,Limetown,4.47959,"Ten years ago, over three hundred men, women and children disappeared from a small town in Tennessee, never to be heard from again. In this podcast, American Public Radio reporter Lia Haddock asks the question once more, ""What happened to the people of Limetown?"" www.limetown.com",Performing Arts,http://www.limetownstories.com/
LifeAfter,Stranglers,In the Dark,Limetown,Accused,Gimlet,Arts,Crimetown,Reply All,StartUp Podcast,Science Vs,,769,Homecoming,4.60337,"The first scripted series from Gimlet Media, starring Catherine Keener, Oscar Isaac, David Schwimmer, David Cross, and Amy Sedaris. Homecoming centers on a caseworker at an experimental facility, her ambitious supervisor, and a soldier eager to rejoin civilian life ? presented in an enigmatic collage of telephone calls, therapy sessions, and overheard conversations. It's an innovative, immersive audio experience ? a psychological thriller unfolding across the six episodes of Season One.",Performing Arts,https://feeds.gimletmedia.com/show/homecoming
TANIS,The Black Tapes,Limetown,LifeAfter,Archive 81,Night Vale Presents,Arts,Welcome to Night Vale,Within the Wires,The Orbiting Human Circus (of the Air),,,920,Alice Isn't Dead,4.44564,"A new fiction serial from the creator of Welcome to Night Vale, Alice Isn?t Dead follows a truck driver in her search across America for the wife she had long assumed was dead. In the course of her search, she will encounter not-quite-human serial murderers, towns literally lost in time, and a conspiracy that goes way beyond one missing woman. New episodes every other Tuesday through July 12. Performed by Jasika Nicole. Written by Joseph Fink. Produced by Disparition. Part of the Night Vale Presents network.",Performing Arts,http://www.aliceisntdead.com/
,,,,,AudioHQ,Arts,,,,,,132,Bronzeville,4.58333,"Starring Laurence Fishburne, Larenz Tate and Tika Sumpter, and written by Academy Award(r) and BAFTA nominee Josh Olson (""A History of Violence""), BRONZEVILLE will chronicle the lives of players in the lottery games while illuminating the self-sustainability of the community's African American residents.",Performing Arts,https://art19.com/shows/bronzeville
Archive 81,Limetown,LifeAfter,The NoSleep Podcast,Alice Isn't Dead,Pacific Northwest Stories,Arts,The Black Tapes,,,,,2489,TANIS,4.70591,"Tanis is a bi-weekly podcast from the creators of Pacific Northwest Stories, and is hosted by Nic Silver. Tanis is a serialized docudrama about a fascinating and surprising mystery: the myth of Tanis. Tanis is an exploration of the nature of truth, conspiracy, and information. Tanis is what happens when the lines of science and fiction start to blur...",Performing Arts,http://tanispodcast.com/
